ID,Year,Month,Andalucía,Aragón,Asturias,Baleares,Canarias,Cantabria,Castilla León,Castilla la Mancha,Cataluña,Ceuta,Comunidad Valenciana,Extremadura,Galicia,La Rioja,Madrid,Melilla,Murcia,Navarra,Pais Vasco,Residentes Extranjero,Resto,Total
200401,2004,1,31,0,76,9,0,0,41,8,43,0,70,0,162,0,68,0,0,0,9,0,29,546
200402,2004,2,59,0,0,29,37,0,62,51,107,0,76,0,391,0,235,0,0,0,22,0,76,1145
200403,2004,3,150,0,75,0,99,0,161,167,129,0,160,0,1145,0,305,0,0,0,77,0,227,2695
200404,2004,4,891,0,0,274,0,0,925,417,894,0,1039,379,4282,0,2048,0,0,0,622,0,1007,12778
200405,2004,5,685,353,374,0,0,0,831,410,1023,0,639,0,3781,0,1565,0,0,0,598,0,942,11201
200406,2004,6,1034,370,499,0,0,0,1059,479,1530,0,1187,0,3306,0,1963,0,0,0,627,0,1198,13252
200407,2004,7,3413,0,640,0,0,0,2709,1448,2177,0,1983,1194,2440,0,5124,0,0,0,1442,0,3207,25777
200408,2004,8,5795,0,0,0,0,0,2452,1986,4527,0,4442,1000,2758,0,7868,0,1014,0,1938,0,3079,36859
200409,2004,9,1936,0,500,0,0,0,1492,731,1617,0,1556,0,3144,0,2814,0,387,0,628,0,1826,16631
200410,2004,10,780,228,365,0,0,0,622,258,872,0,700,0,2861,0,1848,0,0,0,457,0,853,9844
200411,2004,11,156,0,158,224,0,0,186,37,223,0,144,0,1542,0,390,0,0,0,73,0,168,3301
200412,2004,12,141,0,164,59,0,0,134,46,154,0,168,0,1963,0,324,0,0,0,115,0,169,3437
200501,2005,1,23,7,0,0,0,0,6,0,14,0,13,0,42,4,28,0,4,0,9,0,14,164
200502,2005,2,46,0,0,15,5,0,7,2,27,0,35,0,201,0,36,0,0,0,6,0,11,391
200503,2005,3,117,0,0,52,0,0,119,81,236,0,233,81,218,0,721,0,0,0,109,0,212,2179
200504,2005,4,141,0,0,98,0,0,194,73,137,0,193,143,118,0,251,0,0,0,91,0,136,1575
200505,2005,5,249,79,0,0,149,0,360,82,490,0,355,0,444,0,586,0,0,0,328,0,333,3455
200506,2005,6,494,148,0,0,167,0,369,155,840,0,477,0,336,0,850,0,0,0,481,0,702,5019
200507,2005,7,2113,0,0,0,0,0,1033,478,1409,0,1535,513,548,0,2266,0,401,0,1200,0,1359,12855
200508,2005,8,2095,0,0,0,0,0,1019,646,3156,0,2587,433,626,0,2767,0,527,0,1636,0,1531,17023
